,suite_name,suite_id,exp_name,run,host_type,model,cpsnark,pc_type,prover_time_sec,proof_size_bytes,mean(verifier_time_sec),stddev(verifier_time_sec),prover_time_sec_factor_vs_nocom (no_com=1),prover_time_sec_factor_vs_kzg (kzg=1),mean(verifier_time_sec)_factor_vs_nocom (no_com=1),mean(verifier_time_sec)_factor_vs_kzg (kzg=1),proof_size_bytes_factor_vs_nocom (no_com=1),proof_size_bytes_factor_vs_kzg (kzg=1)
0,poly-ipa,1725483589,exp_poly_ipa_diffusion,0,large,diffusion,poly,ipa,6127.776357804,36416,5.8905387584,0.21562009317752048,1.0534603683900463,1.0392966494177491,1.0165372450449754,68.39038480869013,1.0675422138836772,1.104854368932039
2,model-diffusion,1725448679,exp_ipa_no_com,0,large,diffusion,no_com,ipa,5816.807676561,34112,5.7947102156,0.1747560816970188,1.0,1.0115458221246771,1.0,68.94786584142277,1.0,1.0544015825914936
3,cplink,1725423229,exp_kzg_diffusion_cp_link,0,large,diffusion,cp_link,kzg,18413.075954764,16288,9.8166150706,0.0016735697891698273,3.2020433010977083,1.0,116.80215812733894,1.0,0.503461918892186,1.0
4,model-diffusion,1725448679,exp_kzg_poly,0,large,diffusion,poly,kzg,5896.080162711,32960,0.0861310954,0.003043230352917407,1.0253313479032906,1.0,1.0248235009969504,1.0,1.0187932739861523,1.0
5,model-diffusion,1725448679,exp_kzg_cp_link_plus,0,large,diffusion,cp_link+,kzg,6039.231745053,32544,0.1025014076,0.0018641152560144483,1.050225481094608,1.0,1.2196042661004798,1.0,1.0059347181008902,1.0
6,model-diffusion,1725448679,exp_kzg_no_com,0,large,diffusion,no_com,kzg,5750.414414587,32352,0.084044809,0.0017893090955248608,1.0,1.0,1.0,1.0,1.0,1.0
7,poly-ipa,1725483589,exp_poly_ipa_small,2,small,dlrm,poly,ipa,56.69186027,8672,0.343224276,0.0004214260128195649,1.4243030457205659,1.2048214948836085,0.9717780373769275,55.22648675776354,1.2966507177033493,1.4808743169398908
8,cplink,1725423229,exp_kzg,2,small,dlrm,cp_link,kzg,182.460153548,3808,0.1495590308,0.00013180896507711143,4.507719233315124,1.0,25.218347825996048,1.0,0.725609756097561,1.0
9,model-gpt2,1725465767,exp_ipa_poly,0,large,gpt2,poly,ipa,6311.431663404,19168,8.450684257599999,0.8751552073918135,1.228001331928599,1.1570053187411915,0.9738792724489839,0.46203037301001765,1.1608527131782946,1.2350515463917526
10,model-gpt2,1725465767,exp_ipa_no_com,0,large,gpt2,no_com,ipa,5139.596757189,16512,8.6773427638,2.028486403427487,1.0,1.0166123405559688,1.0,0.47218595275354935,1.0,1.1241830065359477
11,model-gpt2,1725465767,exp_kzg_poly,0,large,gpt2,poly,kzg,5454.972039602,15520,18.2903219166,0.019908429975938058,1.0789935776751887,1.0,0.9952854595519989,1.0,1.056644880174292,1.0
12,model-gpt2,1725465767,exp_kzg_cp_link_plus,0,large,gpt2,cp_link+,kzg,5597.509115488,15104,18.4651453938,0.08134415507537254,1.107187414113774,1.0,1.0047986472169772,1.0,1.028322440087146,1.0
13,model-gpt2,1725465767,exp_kzg_no_com,0,large,gpt2,no_com,kzg,5055.611221853,14688,18.3769608418,0.020060478484327557,1.0,1.0,1.0,1.0,1.0,1.0
15,model-small,1725369940,exp_kzg,2,small,mnist,poseidon,kzg,97.034192883,12192,0.008711975,0.00018611348110360028,17.323518984712077,1.0,1.1527539068175217,1.0,1.313793103448276,1.0
16,model-mobilenet,1725371439,exp_ipa_mobilenet_poseidon,0,medium,mobilenet,poseidon,ipa,4847.986192021,23264,7.0315636868,0.08493396441888844,3.2330136166053594,0.9864854465614286,1.9759727861269345,392.85302410619073,1.2016528925619834,1.0834575260804769
18,poly-ipa,1725483589,exp_poly_ipa_mobilenet,0,medium,mobilenet,poly,ipa,1606.736370482,21408,3.669746487,0.007063542901748357,1.0714965675052563,1.0049454920266445,1.0312527217679128,220.2561848217976,1.105785123966942,1.17989417989418
19,model-mobilenet,1725371439,exp_kzg_mobilenet_poseidon,0,medium,mobilenet,poseidon,kzg,4914.402142393,21472,0.017898713400000002,0.0008248482644885674,3.244710724642502,1.0,1.0642658725824252,1.0,1.2155797101449275,1.0
