,suite_name,suite_id,exp_name,run,rep,host_type,host_idx,factor_columns,source_file,cmd,cpsnark,model,num_verifier_reps,pc_type,$CMD$.small,Prover time,Verifier time,Proof size,$CMD$.medium,$CMD$.large,file,error
0,model-small,1725369940,exp_ipa,2,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poly,mnist,5,ipa,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],6.022666297s,"[148.656523ms, 147.177963ms, 154.658537ms, 147.170202ms, 147.414753ms]",10880,,,,
1,model-small,1725369940,exp_ipa,5,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poly,resnet18,5,ipa,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],103.007184747s,"[1.717814917s, 1.71575122s, 1.747495618s, 1.716336907s, 1.716447425s]",16288,,,,
2,model-small,1725369940,exp_ipa,4,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 ipa poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poseidon,resnet18,5,ipa,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 ipa poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],312.383796367s,"[731.071423ms, 728.060232ms, 728.39133ms, 729.895377ms, 728.791888ms]",17792,,,,
3,model-small,1725369940,exp_ipa,3,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 ipa no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,no_com,resnet18,5,ipa,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh resnet18 ipa no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],89.120900631s,"[369.80975ms, 368.827738ms, 368.413482ms, 368.144385ms, 368.955206ms]",15872,,,,
4,model-small,1725369940,exp_ipa,6,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm ipa no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,no_com,dlrm,5,ipa,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm ipa no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],39.803228983s,"[338.393993ms, 415.11874ms, 337.59399ms, 337.1918ms, 337.661721ms]",6688,,,,
5,model-small,1725369940,exp_ipa,1,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist ipa poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poseidon,mnist,5,ipa,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist ipa poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],88.49400642s,"[382.49435ms, 375.225044ms, 375.189692ms, 374.787965ms, 383.349429ms]",13664,,,,
6,model-small,1725369940,exp_ipa,8,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poly,dlrm,5,ipa,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm ipa poly 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],65.23301315s,"[2.875807438s, 2.882019086s, 2.873171151s, 2.875271951s, 2.874283097s]",7232,,,,
7,model-small,1725369940,exp_ipa,0,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist ipa no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,no_com,mnist,5,ipa,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist ipa no_com 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],5.147709945s,"[35.978961ms, 35.659059ms, 35.511304ms, 35.500026ms, 35.472166ms]",10464,,,,
8,model-small,1725369940,exp_ipa,7,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm ipa poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poseidon,dlrm,5,ipa,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh dlrm ipa poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],435.667326477s,"[1.442821119s, 1.43831691s, 1.43831108s, 1.439239038s, 1.438648736s]",11232,,,,
0,model-small,1725369940,exp_kzg,2,0,small,0,"['model', 'cpsnark']",output.csv,/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist kzg poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code,poseidon,mnist,5,kzg,[{'main': '/home/ubuntu/doe-suite/osiris_nku/model-small/code/src/bin/test.zsh mnist kzg poseidon 5 /home/ubuntu/doe-suite/osiris_nku/model-small/code'}],97.034192883s,"[8.845411ms, 8.956109ms, 8.584166ms, 8.66962ms, 8.504569ms]",12192,,,,
